id,artisanName,address,city,phone,email,website,category,region,county
184,Cannizzaro Famiglisa,5226 Seacroft Rd,Charlotte,704-968-2734,melaniecannizzaro@hotmail.com,https://www.cannizzarofamiglia.com,Condiments,Piedmont,Mecklenburg
185,Garland Truffles,3020 Ode Turner Rd,Hillsborough,919-536-9933,betty@garlandtruffles.com,https://www.garlandtruffles.com,Specialty Foods,Piedmont,Orange
186,"Harvest Time Foods, Inc.",3857 Emma Cannon Rd,Ayden,252-746-6675,impressions10@earthlink.net,https://www.annesdumplings.com,Specialty Foods,Coastal Plains,Pitt
187,Billy Bub's,6132 Wolverhampton Dr,Raleigh,919-796-1840,bbullard33@nc.rr.com,https://www.billybubs.com,Condiments,Piedmont,Wake
188,Durn Good,PO Box 1193,Wake Forest,704-975-6929,djhoch@durngood.com,https://www.durngood.com,Condiments,Piedmont,Wake
189,Good Rub,,Morrisville,919-371-0329,distribution@good-rub.com,https://www.good-rub.com,Condiments,Piedmont,Wake
190,Gentlewoods Food,PO BoX 1863,Cary,919-460-1222,office@gentlewoodsfood.com,https://www.jimsownsauce.com,Condiments,Piedmont,Wake
191,Carolina Shores Natural Soap,208 N New River Dr,Surf City,910-508-6590,carolinashoresnaturalsoap@gmail.com,https://www.carolinashoresnaturalsoap.com,Health & Beauty,Tidewater,Pender
192,Cuddle Corn,1707 Windsor Rd,Kinston,252-522-5293,info@cuddlecorn.com,https://www.cuddlecorn.com,Home,Coastal Plains,Lenoir
193,Dancing Bees Farm,5903 WM Griffin Rd,Monroe,704-661-5750,thedancingbees@yahoo.com,,Health & Beauty,Piedmont,Union
194,Heavenscent Organics,540 Old Sanders Rd,Smithfield,919-322-9354,healthforeternity@gmail.com,https://www.hs-organics.com,Health & Beauty,Coastal Plains,Johnston
195,NC Ginseng & Goldenseal Co,300 Indigo Bunting Ln,Marshall,828-649-3536,robert@ncgoldenseal.com,https://www.ncgoldenseal.com,Health & Beauty,Mountains,Madison
196,Oh WoW,,Apex,919-387-7300,contactus@ohwowforlips.com,https://www.ohwowforlips.com,Health & Beauty,Piedmont,Wake
197,Mindful Supply,,Greensboro,,,https://www.mindfulsupply.com,Textiles,Piedmont,Guilford
198,Echoview Fiber Mill,76 Jupiter Rd,Weaverville,828-348-4863,dkepley@echoviewnc.com,https://www.echoviewnc.com,Textiles,Mountains,Buncombe
199,Pass the Gravy,PO Box 1853,Raleigh,919-455-5895,hello@passthegravy.com,https://www.passthegravy.com,Textiles,Piedmont,Wake
200,Rita Dee Farms,3160 MacBrandon Ln,Pfafftown,336-682-4571,ritadee@rdfarms.com,https://www.ritadeealpacas.com,Textiles,Piedmont,Forsyth
201,Alpacadabra,125 Rock Lane Dr,Dobson,336-429-0124,vthompson003@triad.rr.com,http://www.alpaca-dabra.com/,Textiles,Mountains,Surry
202,Blazin' Buddy,1517 S Brightleaf Blvd,Smithfield,919-631-7322,blazinbuddy1@gmail.com,https://www.blazinbuddy.com,Home,Coastal Plains,Johnston
203,Apple Mill,1345 Ozone Dr,Saluda,828-749-9136,applemill@tds.net,https://www.ncapplemill.com,Condiments,Mountains,Polk
204,Heirloom Innovations by Ted Jay,1258 Woodland Church Rd,Wake Forest,919-529-9576,jay_ted@hotmail.com,,Home,Piedmont,Wake
205,NC Wood Toys,5025 Morning Edge Dr,Raleigh,919-819-8519,ncwoodtoys@gmail.com,https://www.ncwoodtoys.com,Novelty,Piedmont,Wake
206,Johnston & Gentithes Art Pottery,741 Fork Creek Mill Rd,Seagrove,336-873-9176,idigclay@embarqmail.com,http://www.johnstonandgentithes.com/,Pottery,Piedmont,Randolph
207,Keith Martindale Pottery,4296 Busbee Rd,Seagrove,910-464-3772,keithmartindalepottery@yahoo.com,http://www.keithmartindalepottery.com/,Pottery,Piedmont,Randolph
208,From the Ground Up,172 Crestwood Rd,Robbins,910-464-6228,manhanpots@rtmc.net,http://www.fromthegrounduppots.com/,Pottery,Piedmont,Moore
209,Jeff Brown Pottery,505 E Main St,Seagrove,336-873-1001,jeff@jeffbrownpottery.com,http://jeffbrownpottery.com/,Pottery,Piedmont,Randolph
210,Kings Pottery,4905 Reeder Rd,Asheboro,336-381-3090,kingspottery@atomic.net,http://www.kingspottery.net/,Pottery,Piedmont,Randolph
211,Old Gap Pottery,944 NC Hwy 705,Seagrove,336-265-6476,oldgappottery@gmail.com,,Pottery,Piedmont,Randolph
212,David Stuempfle Pottery,1224 Dover Church Rd,Seagrove,910-464-2689,david@stuempflepottery.com,http://www.stuempflepottery.com,Pottery,Piedmont,Randolph
213,Chrisco Pottery,1360 S Hwy 705,Seagrove,336-879-5272,,,Pottery,Piedmont,Moore
214,Cagle Road Pottery,603 Cagle Rd,Seagrove,336-879-2802,caglerdpottery@yahoo.com,http://www.caglerdpottery.com/,Pottery,Piedmont,Randolph
215,Great White Oak Gallery,437 N Broad St,Seagrove,336-465-6584,redhare@rtmc.net,,Pottery,Piedmont,Randolph
216,Cady Clay Works,3883 Busbee Rd,Seagrove,910-464-5661,cadyclayworks@yahoo.com,http://www.cadyclayworks.com/,Pottery,Piedmont,Randolph
217,Bulldog Pottery,3306 US Hwy 220 Alt,Seagrove,336-302-3469,bulldog@bulldogpottery.com,http://www.bulldogpottery.com/,Pottery,Piedmont,Randolph
218,Crystal King Pottery,2475 Hwy 705,Seagrove,336-879-6990,crystalking@triad.rr.com,http://crystalkingpottery.studio/,Pottery,Piedmont,Randolph
219,Seagrove Stoneware,136 W Main St,Seagrove,336-707-9124,artists@seagrovestoneware.com,http://www.seagrovestoneware.com/,Pottery,Piedmont,Randolph
220,Wyndham & Brooke Haven Pottery,209 E Main St,Seagrove,336-873-7254,wynpotter@embarqmail.com,,Pottery,Piedmont,Randolph
221,Pottery by Frank Neef,258 E Main St,Seagrove,336-872-4013,potterybyfrank@hotmail.com,https://potterybyfrankneef.com/,Pottery,Piedmont,Randolph
222,O'Quinn Pottery,4456 Busbee Rd,Seagrove,910-464-5125,,,Pottery,Piedmont,Randolph
223,Latham's Pottery,7297 US Hwy 220 Alt,Asheboro,336-873-7303,lathamspottery@embarqmail.com,http://www.lathamspottery.com/,Pottery,Piedmont,Randolph
224,JLK Jewelry,330 Jugtown Rd,Seagrove,910-464-2653,jennie@jlkjewelry.com,https://www.jlkjewelry.com/,Jewelry,Piedmont,Randolph
225,Seagrove Art Pottery,402 E Main St,Seagrove,407-349-1554,seagroveartpottery@gmail.com,http://www.seagroveartpottery.com/,Pottery,Piedmont,Randolph
226,Turn and Burn,124 East Ave,Seagrove,336-873-7381,dbgarneri@embarqmail.com,http://www.turnandburnpottery.com/,Pottery,Piedmont,Randolph
227,Windsong Pottery,6109 Brantly Gordon Rd,Denton,336-857-2485,windsongpottery@yahoo.com,https://windsongpottery.weebly.com/,Pottery,Piedmont,Davidson
228,Thomas Pottery,1295 S NC Hwy 705,Seagrove,336-879-4145,scottandbobbie@thomaspottery.com,https://www.thomaspottery.com/,Pottery,Piedmont,Randolph
229,Ray Pottery,249 E Main St,Seagrove,336-879-6707,raypottery@gmail.com,http://raypottery.com/,Pottery,Piedmont,Randolph
230,Pottery Junction,413 E Main St,Seagrove,336-873-9266,potteryjunction@ymail.com,,Pottery,Piedmont,Randolph
231,Ben Owen Pottery Inc,105 Bens Pl,Seagrove,336-879-2262,info@benowenpottery.com,http://benowenpottery.com/,Pottery,Piedmont,Randolph
232,DirtWorks Pottery,1226 NC Hwy 705,Seagrove,336-873-8979,dirtworkspottery@centurylink.net,,Pottery,Piedmont,Randolph
233,Studio Touya,4911 Busbee Rd,Seagrove,,studiotouya@gmail.com,http://www.studiotouya.com/,Pottery,Piedmont,Randolph
234,Jugtown Pottery,330 Jugtown Rd,Seagrove,910-464-3266,jugtown@mindspring.com,https://www.jugtownware.com/,Pottery,Piedmont,Randolph
235,Smith Pottery,743 S NC Hwy,Seagrove,336-879-1174,smithpottery@rtmc.net,http://www.smithpotterync.com/,Pottery,Piedmont,Randolph
236,Donna's Pottery Haven,3432 Brower Mill Rd,Seagrove,336-879-4776,hertzog63@gmail.com,,Pottery,Piedmont,Randolph
237,Rockhouse Pottery,1792 S NC Hwy 705,Seagrove,336-879-2053,tcpoole@hotmail.com,,Pottery,Piedmont,Randolph
238,Lufkin Pottery,123 South St,Seagrove,336-873-8764,lufkinpottery@yahoo.com,,Pottery,Piedmont,Randolph
239,BlueStone Pottery,2215 Fork Creek Mill Rd,Seagrove,336-879-2615,audreyvalone@bellsouth.net,,Pottery,Piedmont,Randolph
240,Dean and Martin Pottery,7739 Nathan Lane,Seagrove,339-879-0683,nikkimartin72@gmail.com,http://deanandmartinpottery.com/,Pottery,Piedmont,Randolph
241,Humble Mill Pottery,121 N Broad St,Seagrove,336-509-1509,cwooten@nc.net,http://www.humblemillpottery.com/,Pottery,Piedmont,Randolph
242,Triangle Pastry Co,417 Kildaire Farm Rd,Cary,,hello@trianglepastry.com,https://www.trianglepastry.com,Sweets,Piedmont,Wake
243,2 Bros and a Bard,,Apex,919-335-5229,2brosandabard@gmail.com,https://www.etsy.com/shop/2brosandabard,Jewelry,Piedmont,Wake
244,Bethesda Roasting Company,,Raleigh,919-423-3772,lance@bethesdacoffee.com,https://www.bethesdacoffee.com,Coffee,Piedmont,Wake
245,Great Paws of Fire,,,609-975-3705,,,Pets,Piedmont,Wake
246,Heaven Scent Honey,PO Box 99107,Raleigh,,,https://www.heavenscenthoney.com,Condiments,Piedmont,Wake
247,NC Soap Opera Company,,,919-605-2254,ncsoapoperacompany@gmail.com,https://www.ncsoapopera.com,Health & Beauty,Piedmont,Wake
248,Mo'Wax Mo'Wix,,Cary,,info@mwmwcandles.com,https://www.mwmwcandles.com,Home,Piedmont,Wake
249,Silver Blush Jewelry,,Cary,866-827-9891,info@silverblushjewelry.com,https://www.silverblushjewelry.com,Jewelry,Piedmont,Wake
250,Sweet Peak,,Apex,,,https://www.sweetpeaknc.com,Bakery,Piedmont,Wake
251,Woodstock Soaps,,Cary,919-357-8049,woodstocksoaps@gmail.com,,Health & Beauty,Piedmont,Wake
252,Young Pottery,,Cary,919-641-1532,youngleem48@yahoo.com,http://youngleem48pottery.blogspot.com/,Pottery,Piedmont,Wake
253,Zulia Bakery,,Raleigh,919-459-7204,,,Bakery,Piedmont,Wake
254,Planetary Elixirs,1147 Falls Rd Ste 157,Rocky Mount,252-256-8048,,https://www.planetaryelixirs.com,Other Beverages,Coastal Plains,Nash
255,Just a Little Spice,,Apex,855-655-6646,,https://www.justalittlespice.com,Condiments,Piedmont,Wake
256,Killer Toffee,107 Chariot Ct,Cary,919-319-9154,diane@killertoffee.com,https://www.killertoffee.com,Sweets,Piedmont,Wake
257,Natural Choice,,Apex,,naturalchoicellc@gmail.com,,Condiments,Piedmont,Wake
258,Natural Soap Cauldron,,Pittsboro,919-271-0866,info@naturalsoapcauldron.com,https://www.naturalsoapcauldron.com,Health & Beauty,Piedmont,Chatham
259,Chilean Charm,,Raleigh,919-348-0861,ivania@chilean-charm.com,https://www.chilean-charm.com,Jewelry,Piedmont,Wake
260,Little Redd Sled,,Holly Springs,919-610-2760,littlereddsled@gmail.com,https://www.littlereddsled.com,Home,Piedmont,Wake
261,Cake Kernels,,Raleigh,919-374-0389,info@cakekernels.com,https://cakekernels.com,Snacks,Piedmont,Wake
262,Five Star Coffee Roasters,108 Thomas Mill Rd Ste 101,Holly Springs,919-671-0645,,https://www.fivestarroasters.com,Coffee,Piedmont,Wake
263,Gold Star Pasta,,Holly Springs,516-476-2165,,,Specialty Foods,Piedmont,Wake
264,Neomega Nutritionals,150 Wrenn Dr #973,Cary,800-717-1645,info@neomega3.com,https://www.neomega3.com,Health & Beauty,Piedmont,Wake
265,Paradox Farm Creamery,,West End,,paradoxfarmcreamery@gmail.com,https://www.paradoxfarmcreamery.com,Dairy,Piedmont,Moore
266,La Farm Bakery,4248 NW Cary Parkway,Cary,949-657-0657,,https://www.lafarmbakery.com,Bakery,Piedmont,Wake
267,Slice Pie Company,,Raleigh,919-349-8499,,https://www.slicepiecompany.com,Sweets,Piedmont,Wake
268,Sonnyboy's Sauces,,Carrboro,919-649-1252,sales@sonnyboyssauces.com,,Condiments,Piedmont,Orange
269,Wildest Dreams Farm,Honeycutt Rd,Clinton,,,,Health & Beauty,Coastal Plains,Sampson
270,Vintage Paris Market,,Holly Springs,919-290-5345,,https://www.vitageparismarket.etsy.com,Home,Piedmont,Wake
271,Dixon's Dollops,,Raleigh,910-573-1119,info@dixonsdollops.com,https://www.dixonsdollops.com,Sweets,Piedmont,Wake
272,MB's Tasty Pastries,3900 Burlington Mills Rd,Wake Forest,919-600-9601,,,Sweets,Piedmont,Wake
273,Tracy's Gourmet,,Morrisville,919-672-1731,info@tracysgourmet.com,https://tracysgourmet.com,Condiments,Piedmont,Wake
274,Breck's Heavenly Blueberries,324 Egypt Church Rd,Louisburg,919-340-2215,,,Produce,Piedmont,Franklin
275,Fern Creek Farm,,Creedmoor,919-740-3539,,https://ferncreekfarmnc.com,Meat,Piedmont,Granville
276,Kalawi Farms,1515 NC Highway 211,Eagle Springs,910-67-5996,,https://www.kalawifarm.com,Produce,Piedmont,Moore
277,Little River Gardens,2333 Rolesville Rd,Wake Forest,919-268-9258,,,Produce,Piedmont,Wake
278,Shrooms 2 Grow,98 Hwy E,Louisburg,919-495-1869,nctncowgirl@aol.com,nctncowgirl.wixsite.com/shroom-2-grow,Produce,Piedmont,Franklin
279,Sweet Peas Urban Garden,1931 New Bern Ave,Raleigh,919-457-6012,info@sweetpeasurbangardens.com,https://www.sweetpeasurbangardens.com,Produce,Piedmont,Wake
280,Turtle Mist Farm,221 Suitt Rd,Franklinton,919-457-2942,,https://www.turtlemistfarm.com,Produce,Piedmont,Franklin
281,Walk Ahead Farms,,Louisburg,,walkaheadfarms@gmail.com,https://www.walkaheadfarms.weebly.com,Meat,Piedmont,Franklin
282,Laura's Family,,Raleigh,919-964-5343,laurasfamilyglutenfree@gmail.com,https://www.laurasfamilyglutenfree.com,Gluten-Free,Piedmont,Wake
283,Strong Arm Baking Co,,Oxford,828-400-4826,info@strongarmbaking.com,https://www.strongarmbaking.com,Bakery,Piedmont,Granville
284,That's Good Chocolate,PO Box 483,Rolesville,919-523-5237,thatsgoodchocolate@gmail.com,https://www.thatsgoodchocolate.com,Sweets,Piedmont,Wake
285,Redman Pottery,2622 S Smithfield Rd,Knightdale,919-266-0997,pottery101010@gmail.com,https://www.redmanpottery.com,Pottery,Piedmont,Wake
286,Serenity Meadows Farm,,Wake Forest,919-614-5286,susanolvera@gmail.com,,Condiments,Piedmont,Wake
287,Black & White Coffee,314 Brooks St,Wake Forest,984-235-0125,lem@blackwhiteroasters.com,https://www.blackwhiteroasters.com,Coffee,Piedmont,Wake
288,Barking Dog Farms,1811 Eller Dr,Burlington,336-675-0180,,,Produce,Piedmont,Alamance
289,Color Fields,169 Boon Square St #162,Hillsborough,,colorfieldsfarm@gmail.com,https://www.colorfieldsfarm.com,Flowers,Piedmont,Orange
290,Gertrude's Garden Gems,,Pittsboro,,,,Flowers,Piedmont,Chatham
291,Fickle Creek Farm,211 Fickle Creek Crossing,Efland,919-304-6287,ficklecreek@gmail.com,https://www.ficklecreekfarm.com,Meat,Piedmont,Orange
292,Fiddlehead Pottery,355 Miles Branch Rd,Pittsboro,919-523-8366,info@fiddleheadpottery.com,http://www.fiddleheadpottery.com/,Pottery,Piedmont,Chatham
293,Fox Farm & Forage,219 Vatersay Dr,Apex,919-363-8838,amy@foxfarmforage.com,http://www.foxfarmforage.com/,Produce,Piedmont,Wake
294,Hillsborough Cheese Company,3121 Rippy Ln,Hillsborough,919-414-6741,hillsboroughcheeseco@gmail.com,https://www.hillsboroughcheeseco.com,Dairy,Piedmont,Orange
295,In Good Heart Farm,456 Friendly Pooch Ln,Pittsboro,919-417-0705,ingoodheartfarm@gmail.com,https://ingoodheartfarm.com,Produce,Piedmont,Chatham
296,Locals Seafood,1209 Farmers Market Dr,Raleigh,919-675-2722,,https://localsseafood.com,Seafood,Piedmont,Raleigh
297,Brandy's Soy Candles,,Angier,919-244-8866,,http://brandyssoycandles.wixsite.com/brandyssoycandles,Home,Coastal Plains,Harnett
298,Redbud Farm,,Burlington,,,https://www.localharvest.org,Organic,Piedmont,Alamance
299,Muddy Dog Roasting Company,3000 Bear Cat Way,Morrisville,919-371-2818,,https://www.muddydogcoffee.com,Coffee,Piedmont,Wake
300,Smith's Nursery,443 Sanders Rd,Benson,919-934-1700,,https://www.smithsnurseryinc.com,Flowers,Coastal Plains,Johnston
301,ShellyMac,,Durham,,,,Condiments,Piedmont,Durham
302,Brew Jeans,800 S Ayersville Rd,Mayodan,844-247-3534,jason@brewjeans.com,http://brewjeans.com/,Home,Piedmont,Rockingham
303,Two Bridges Farm,17 Lloyds Way,Louisburg,252-436-2270,austin@twobridgesfarm.net,http://www.twobridgesfarm.net/home.html,Meat,Piedmont,Franklin
304,Serve with Verve,,Raleigh,919-414-9200,blucas1@nc.rr.com,https://www.servewithverve.weebly.com,Home,Piedmont,Wake
305,Asheville Fungi,16 Allen St,Asheville,855-553-8644,info@ashevillefungi.com,https://www.ashevillefungi.com,Produce,Mountains,Buncombe
306,Asheville Tea Company,,Asheville,,,http://www.ashevilleteacompany.com/,Other Beverages,Mountains,Buncombe
307,Barnhouse Kitchen,368 Lily Pad Ln,Flat Rock,828-280-2765,,,Sweets,Mountains,Henderson
308,Crystal Coast Brewing Company,702 Arendell St,Morehead City,252-773-0974,ccbrewingnc@gmail.com,http://www.crystalcoastbrewingcompany.com/,Beer,Tidewater,Carteret
309,Biltmore Coffee Roasters,518 Hendersonville Rd,Asheville,828-277-927,biltmorecoffee@gmail.com,https://www.biltmorecoffeeroasters.com/,Coffee,Mountains,Buncombe
310,Blue Ridge Mountain Creamery,327 Flat Creek Rd,Fairview,828-551-5739,victorchiarizia@bellsouth.net,http://www.caveagedcheeses.com/,Dairy,Mountains,Buncombe
311,Confections of a Cotton Pickin’ Queen,2 Covewood Dr,Arden,828-551-1983,cottonpickinconfections@gmail.com,https://coacpq.wordpress.com/,Sweets,Mountains,Buncombe
312,Crust Never Sleeps,,,828-280-6068,baker@crustneversleeps.com,http://www.crustneversleeps.com/,Bakery,Mountains,Buncombe
313,Eat More Bakery,PO Box 207,Asheville,828-713-5222,eatmorebakery@gmail.com,https://eatmorebakery.com/,Gluten-Free,Mountains,Buncombe
314,Farm & Sparrow,,Asheville,828-633-0584,info@farmandsparrow.com,http://www.farmandsparrow.com/,Bakery,Mountains,Buncombe
315,Goddess Ghee,,,,goddessghee@gmail.com,https://www.goddessghee.com/,Health & Beauty,Mountains,Buncombe
316,Good Cheer Chocolates,24a S Main St,Mars Hill,828-417-1550,,https://goodcheerchocolates.com/,Sweets,Mountains,Madison
317,Looking Glass Creamery,57 Noble Rd,Fairview,828-458-4715,andy@ashevillecheese.com,https://ashevillecheese.com/,Dairy,Mountains,Buncombe
318,Mountain Corn Cakes,,Asheville,786-469-1161,mountaincorncakes@gmail.com,http://mountaincorncakes.com/index.html,Bakery,Mountains,Buncombe
319,Pete's Extraordinary Granola,19 McGee HI,Fairview,,,https://petesextraordinarygranola.com/,Snacks,Mountains,Buncombe
320,Postre Caramels,202 Elk Park Dr,Asheville,828-575-9180,,https://postrecaramels.com/,Sweets,Mountains,Buncombe
321,Rebel Oven,,Asheville,,,http://rebeloven.com/,Gluten-Free,Mountains,Buncombe
322,Serotonin Ferments,200 Bartlett Rd,Weaverville,707-972-2391,serotoninferments@hotmail.com,,Snacks,Mountains,Buncombe
323,Shanti Elixirs,,Asheville,,info@shantielixirs.com,https://shantielixirs.com/,Other Beverages,Mountains,Buncombe
324,Simple Bread,,Woodfin,828-333-347,thesimplebread@gmail.com,http://www.thesimplebread.com,Bakery,Mountains,Buncombe
325,Sweetheart Bakery,25 Chester Pl,Asheville,828-768-5137,sweetheartbakery@gmail.com,,Bakery,Mountains,Buncombe
326,Barkriffic,,Waynesville,,barkriffic@gmail.com,https://www.barkriffic.com/,Pets,Mountains,Haywood
327,Bonny Bath,,Asheville,828-713-7695,,http://www.bonnybath.com/,Health & Beauty,Mountains,Buncombe
328,Hap Mountain Herbal,PO Box 783,Hot Springs,,,http://www.hapmountainherbal.com/,Health & Beauty,Mountains,Madison
329,Shecology,PO Box 2701,Weaverville,828-713-4031,clean@shecology.com,https://www.shecology.com,Home,Mountains,Buncombe
330,Jeff Young Pottery,5404 Hoover Elmore Rd,Vale,704-276-1572,info@jeffyoungpottery.com,,Pottery,Mountains,Avery
331,Highlander Handcrafited,PO Box 7184,Asheville,828-290-2099,highlanderhandcrafted@gmail.com,https://highlanderhandcrafted.com/,Novelty,Mountains,Buncombe
332,Wild Earth Textiles,,Asheville,828-230-3819,melanie@wildearthtextiles.com,https://wildearthtextiles.com/,Textiles,Mountains,Buncombe
333,Bella & Oliver Soap Co,,Asheville,803-230-8187,,https://bellaandoliversoap.com/,Health & Beauty,Mountains,Buncombe
334,Abby's Better Nut Butters,,Mooresville,407-965-6597,,https://abbysbetter.com/,Snacks,Piedmont,Iredell
335,Beverly's Gourmet Foods,,Charlotte,704-533-0073,,https://www.beverlysgourmetfoods.com/,Gluten-Free,Piedmont,Mecklenburg
336,brüks bars,,Charlotte,704-665-7569,,https://bruksbars.com/,Gluten-Free,Piedmont,Mecklenburg
337,Carolina Artisan Breads,,Midland,704-281-7284,,,Bakery,Piedmont,Cabarrus
338,Clean Juice,,Huntersville,980-781-5456,,http://www.cleanjuicebar.com,Other Beverages,Piedmont,Mecklenburg
339,Essential Soap Co,,Charlotte,704-737-2385,,https://www.etsy.com/shop/essentialsoapconc,Health & Beauty,Piedmont,Mecklenburg
340,Fading D Farm,295 Fading D Farm Rd,Salisbury,980-330-8189,fadingdfarm@gmail.com,http://www.fadingdfarm.com/,Dairy,Piedmont,Rowan
341,Mood Indigo Soaps!,PO Box 1584,Davidson,704-897-7820,,http://www.moodindigosoaps.com/,Health & Beauty,Piedmont,Davidson
342,Sahtein Lebanese Cuisine,19901 Holiday Ln,Cornelius,704-962-4601,,,Snacks,Piedmont,Mecklenburg
343,Your Moms Donuts,11025 Monroe Rd Ste F,Matthews,803-280-5720,order@yourmomsdonutsnc.com,https://www.yourmomsdonutsnc.com/,Sweets,Piedmont,Mecklenburg
344,Big Spoon Roasters,,Durham,919-309-9100,info@bigspoonroasters.com,http://www.bigspoonroasters.com/,Coffee,Piedmont,Durham
345,Celebrity Dairy,144 Celebrity Dairy Way,Siler City,919-742-5716,,http://celebritydairy.com/,Dairy,Piedmont,Chatham
346,The Chairman,,Cameron,,,http://chairmanbill.com/,Furniture,Piedmont,Moore
347,Chapel Hill Creamery,615 Chapel Hill Creamery Rd,Chapel Hill,919-967-3757,info@chapelhillcreamery.com,http://chapelhillcreamery.com/,Dairy,Piedmont,Orange
348,Chicken Bridge Bakery,2919 Chicken Bridge Rd,Pittsboro,,chickenbridgebakery28@gmail.com,https://chickenbridgebakery.weebly.com/,Bakery,Piedmont,Chatham
349,Crow Hill Rugs,2302 Falls Dr,Chapel Hill,919-382-8478,crowhillrugs@gmail.com,http://www.crowhillrugs.com/,Textiles,Piedmont,Orange
350,Eddie Smith Pottery,,Carrboro,919-942-2072,cybercrock@gmail.com,,Pottery,Piedmont,Orange
351,Farmer's Daughter,,Hillsborough,919-259-3946,april@farmersdaughterbrand.com,http://www.farmersdaughterbrand.com/,Condiments,Piedmont,Orange
352,Foster's Custom Steel,2010 Mill Creek Rd,Mebane,919-563-5949,fostercustomsteel@gmail.com,http://www.fosterscustomsteel.com/,Art,Piedmont,Alamance
353,Heartsong Baskets,,Hillsborough,,heartsongbaskets@hotmail.com,,Furniture,Piedmont,Orange
354,Just Bee Apiary,113 Wolf's Trail,Chapel Hill,919-260-6032,marty@justbeenc.com,http://www.justbeenc.com/,Condiments,Piedmont,Orange
355,Sari Sari Sweets,,Chapel Hill,919-923-6396,,,Sweets,Piedmont,Orange
356,1323 R&D,1323 Capital Blvd,Raleigh,919-977-5654,ncbrewery1323@gmail.com,https://www.1323rnd.com/,Beer,Piedmont,Wake
357,1718 Brewing Ocracoke,1129 Irvin Garrish Hwy,Ocracoke,252-928-2337,,,Beer,Tidewater,Hyde
358,217 Brew Works,217 South St S,Wilson,252-991-6959,info@217brewworks.com,https://217brewworks.com/,Beer,Coastal Plains,Wilson
359,3rd Degree Brewhouse,1625 N Main St,Fuquay-Varina,919-201-5457,,,Beer,Piedmont,Wake
360,3rd Rock Brewing,134 Industrial Park Dr,Trenton,252-631-9213,brew@3rockbrew.com,https://www.3rockbrew.com/,Beer,Tidewater,Jones
361,7 Clans Brewing,,Cherokee,828-246-3005,info@7clanbrewing.com,http://www.7clansbrewing.com/,Beer,Mountains,Jackson
362,Angry Troll Brewing,222 E Main St Ste U6,Elkin,336-258-2251,info@angrytrollbrewing.com,https://www.angrytrollbrewing.com/,Beer,Mountains,Surry
363,Appalachian Mountain Brewery,163 Boone Creek Dr,Boone,828-263-1111,,https://amb.beer/,Beer,Mountains,Watauga
364,Archetype Brewing,265 Haywood Rd,Asheville,828-505-4177,info@archetypebrewing.com,https://www.archetypebrewing.com/,Beer,Mountains,Buncombe
365,Pluto's,PO Box 802,Carrboro,919-929-7524,info@plutosinc.com,http://www.plutosinc.com/,Condiments,Piedmont,Orange
366,Roots Organic Gourmet,166 W Haywood St,Asheville,828-232-2828,connect@rootshummus.com,https://www.rootshummus.com/,Snacks,Mountains,Buncombe
367,Chapel Hill Toffee,,Chapel Hill,919-906-1726,info@chapelhilltoffee.com,https://www.chapelhilltoffee.com/,Sweets,Piedmont,Orange
368,The Gourmet Chip Company,43 1/2 Broadway St,Asheville,828-254-3335,,http://www.gourmetchipcompany.com/,Snacks,Mountains,Buncombe
369,Zapples,,Raleigh,919-342-8885,zapplechips@gmail.com,http://www.enjoyzapples.com/,Snacks,Piedmont,Wake
370,Hampton Heritage Co,1959 N Peace Haven Rd Ste 216,Winston-Salem,336-972-3022,choover@hamptonheritage.com,https://hamptonheritage.com/,Pets,Piedmont,Forsyth
371,Humbly Made,,Raleigh,919-827-8887,mitch@humblymade.com,https://humblymade.com/,Textiles,Piedmont,Wake
372,Scott's Barbecue Sauce Company,PO Drawer 1380,Goldsboro,919-734-0711,,https://www.scottsbarbecuesauce.com/,Condiments,Coastal Plains,Wayne
373,A & O Organics,,Manteo,,,http://www.aoorganics.com/,Health & Beauty,Tidewater,Dare
374,Anvil Metals Studio,,Raleigh,,anvilmetalsstudio@gmail.com,http://anvilmetalsstudio.com/,Art,Piedmont,Wake
375,Beard and Lady,,Creedmoor,877-621-7006,info@beardandlady.com,https://www.beardandlady.com/,Health & Beauty,Piedmont,Granville
376,Amapola Farm & Soap Shop,2911 49 Hwy N,Burlington,336-270-8062,,https://amapolafarm.com/,Health & Beauty,Piedmont,Alamance
377,Goat Lady Dairy,3531 Jess Hackett Rd,Climax,336-824-2163,info@goatladydairy.com,http://www.goatladydairy.com/,Dairy,Piedmont,Guilford
378,Barking Duck Brewing Company,4400 Morris Park Ste O,Mint Hill,980-498-17505,,http://www.barkingduckbrew.com/,Beer,Piedmont,Mecklenburg
379,Ass Clown Brewing Company,10620 Bailey Rd Ste E & F,Cornelius,980-505-0399,matt@assclownbeer.com,http://assclownbrewing.com/,Beer,Piedmont,Mecklenburg
380,Balsam Falls Brewing,506 W Main St,Sylva,828-631-1987,,,Beer,Mountains,Jackson
381,Aviator Brewing Company,209 Technology Park Ln,Fuquay-Varina,919-567-2337,,http://aviatorbrew.com/,Beer,Piedmont,Wake
382,Blue Ghost Brewing Company,125 Underwood Rd,Fletcher,828-376-0159,zach@blueghostbrewing.com,https://www.blueghostbrewing.com/,Beer,Mountains,Henderson
383,Black Creek Brewery,111 Depot St,Roxboro,,,,Beer,Piedmont,Person
